□ 2023년말 보호수 지정 세부현황,,,,,,,,,,,,,,,,,,,,,,,
,,,보호수 본수,13870,,,,,,,,,,,,,,,,,,,
,,,보호수 수종 개수,153.99999999997078,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1.지정정보,,,,,2.명칭정보,,,3.위치정보,,,,4.관리정보,5.개체정보,,,,,,,,,,
지정기관,지정번호,지정본수,지정유형,세부지정유형,대분류,수종명(국명),수종명(학명),시군구명,세부 주소,지목유형,생육지형,지정일,지정일기준수령(년),2023년기준수령(년),수고(cm),흉고직경(cm),흉고둘레(cm),,,,,,
서울특별시,서3-8,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 원효로4가87-2,대지,평탄지,1998.04.25,200,225,2000,110,350,,,,,,
서울특별시,서3-9,1,노거목,정자목,느티나무,느티나무,Zelkova serrata (Thunb.) Makino ,용산구, 동빙고동 17,잡종지,평탄지,1968.07.03,230,285,1500,100,320,,,,,,
서울특별시,서3-10,1,노거목,풍치목,기타,비술나무,Ulmus pumila L.,용산구, 원효로1가 25,대지,평탄지,1998.04.25,150,175,2000,80,260,,,,,,
서울특별시,서3-11,1,노거목,풍치목,기타,비술나무,Ulmus pumila L.,용산구, 원효로1가 25(건물),대지,평탄지,1998.04.25,150,175,2000,110,350,,,,,,
서울특별시,서3-12,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 원효로4가 128-1,대지,평탄지,1981.10.27,115,157,1900,50,150,,,,,,
서울특별시,서3-13,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 원효로4가 128-1,대지,평탄지,1981.10.27,115,157,1900,50,150,,,,,,
서울특별시,서3-14,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 원효로4가 128-1,대지,평탄지,1981.10.27,115,157,1900,50,150,,,,,,
서울특별시,서3-15,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 원효로4가 128-1,대지,평탄지,1981.10.27,115,157,1900,50,150,,,,,,
서울특별시,서3-16,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 원효로4가 128-1,대지,평탄지,1981.10.27,115,157,1900,90,270,,,,,,
서울특별시,서3-17,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 한강로2가 55-1,도로,평탄지,1981.10.27,135,177,2000,80,260,,,,,,
서울특별시,서3-18,1,노거목,풍치목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 한강로2가 55-1,도로,평탄지,1981.10.27,135,177,2000,80,260,,,,,,
서울특별시,서3-19,1,노거목,정자목,은행나무,은행나무,Ginkgo biloba L. ,용산구, 한강로2가 55-1,도로,평탄지,1981.10.27,135,177,2000,90,290,,,,,,
